time,rain_fall,temp,humidity,wind_direction,wind_speed,rain_now,rain_next_hour
1/1/2017 0:00,2.3,21.9,96.0,NA,NA,Yes,Yes
1/1/2017 1:00,1.7,21.9,96.0,WNW,1,Yes,No
1/1/2017 2:00,0,21.9,96.0,NA,NA,No,Yes
1/1/2017 3:00,0.2,21.8,95.0,NA,NA,Yes,No
1/1/2017 4:00,0,21.8,95.0,NA,NA,No,Yes
1/1/2017 5:00,0.1,21.9,94.0,NA,NA,Yes,No
1/1/2017 6:00,0,22.3,94.0,NA,NA,No,No
1/1/2017 7:00,0,23.7,90.0,Unknown,0,No,No
1/1/2017 8:00,0,24.5,83.0,NA,NA,No,Yes
1/1/2017 9:00,0.6,24.6,77.0,NA,NA,Yes,Yes
1/1/2017 10:00,0.1,25.7,78.0,NA,NA,Yes,No
1/1/2017 11:00,0,25.8,77.0,NA,NA,No,No
1/1/2017 12:00,0,25.7,78.0,NA,NA,No,No
1/1/2017 13:00,0,25.9,75.0,ENE,1,No,No
1/1/2017 14:00,0,26,79.0,NA,NA,No,No
1/1/2017 15:00,0,25.7,83.0,NA,NA,No,No
1/1/2017 16:00,0,25.4,88.0,NA,NA,No,No
1/1/2017 17:00,0,24.4,87.0,NA,NA,No,Yes
1/1/2017 18:00,0.5,23,89.0,NA,NA,Yes,Yes
1/1/2017 19:00,0.5,22.9,87.0,NNW,1,Yes,Yes
1/1/2017 20:00,0.1,22.7,87.0,NA,NA,Yes,Yes
1/1/2017 21:00,0.9,22.8,92.0,NA,NA,Yes,Yes
1/1/2017 22:00,0.3,22.8,96.0,NA,NA,Yes,Yes
1/1/2017 23:00,0.6,22.8,95.0,NA,NA,Yes,Yes
1/2/2017 0:00,0.6,22.8,95.0,NA,NA,Yes,No
1/2/2017 1:00,0,22.9,95.0,NNW,1,No,Yes
1/2/2017 2:00,0.5,22.9,96.0,NA,NA,Yes,Yes
1/2/2017 3:00,0.9,23.1,96.0,NA,NA,Yes,No
1/2/2017 4:00,0,23.2,94.0,NA,NA,No,No
1/2/2017 5:00,0,23,92.0,NA,NA,No,No
1/2/2017 6:00,0,23.2,93.0,NA,NA,No,Yes
1/2/2017 7:00,0.4,23.9,92.0,Unknown,0,Yes,No
1/2/2017 8:00,0,25.5,89.0,NA,NA,No,No
1/2/2017 9:00,0,26.9,93.0,NA,NA,No,No
1/2/2017 10:00,0,27.8,93.0,NA,NA,No,No
1/2/2017 11:00,0,27.5,91.0,NA,NA,No,No
1/2/2017 12:00,0,27.8,95.0,NA,NA,No,No
1/2/2017 13:00,0,26.9,92.0,E,2,No,Yes
1/2/2017 14:00,0.3,26,89.0,NA,NA,Yes,No
1/2/2017 15:00,0,25.7,93.0,NA,NA,No,No
1/2/2017 16:00,0,25.4,94.0,NA,NA,No,Yes
1/2/2017 17:00,0.2,24.8,95.0,NA,NA,Yes,No
1/2/2017 18:00,0,24.6,95.0,NA,NA,No,No
1/2/2017 19:00,0,24.4,93.0,NNE,1,No,No
1/2/2017 20:00,0,23.9,91.0,NA,NA,No,Yes
1/2/2017 21:00,0.1,23.8,93.0,NA,NA,Yes,No
1/2/2017 22:00,0,23.8,91.0,NA,NA,No,No
1/2/2017 23:00,0,23.7,90.0,NA,NA,No,No
1/3/2017 0:00,0,23.6,91.0,NA,NA,No,No
1/3/2017 1:00,0,23.4,93.0,WNW,1,No,No
1/3/2017 2:00,0,22.9,93.0,NA,NA,No,No
